"","Date","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1",2018-09-16,333.7,336.7,325.1,326.35,326.55,13005562,43058.92
"2",2018-09-09,327.45,336.4,322.45,333.3,335.1,16435004,54455.5
"3",2018-09-02,343,346.8,338.5,341.6,342.6,19809916,67787.04
"4",2018-08-26,334.4,335.5,327.3,329.85,330.15,17805968,58895.53
"5",2018-08-19,336.8,342.2,335.85,340,340,24090696,81841.64
"6",2018-08-12,334.05,340.3,325.35,327.75,328.6,36321097,120334.12
"7",2018-08-05,300,306.75,297.55,306,305,14478902,44031.26
"8",2018-07-29,284.9,295.15,282.2,292.25,293.2,30926969,89932.14
"9",2018-07-22,261.8,267.7,261.8,265.8,265.8,13794388,36668.72
"10",2018-07-15,273,273.3,266.05,267.85,267.75,19159840,51395
"11",2018-07-08,271.1,271.95,267.05,270.15,270.05,26025797,70220.25
"12",2018-07-01,272,276,269.6,274.7,275.4,20930477,57312.08
"13",2018-06-24,298.2,302.7,295.65,301.45,300.65,17490606,52257.62
"14",2018-06-17,287.2,288.5,280,282,282.5,47186222,133768.15
"15",2018-06-10,290.1,290.9,285.5,288.5,288.25,11340014,32571.99
"16",2018-06-03,295,299.95,286.85,288.8,289.3,29675949,86895.95
"17",2018-05-27,298.4,300.95,294.6,296.2,295.65,13541580,40235.19
"18",2018-05-20,294.15,295.3,284.6,287.8,286.1,17469524,50323.09
"19",2018-05-13,307.95,311.85,307.55,310.55,310.95,16671145,51669.18
"20",2018-05-06,280.45,285.6,278.35,282.8,282.85,11861951,33567.88
"21",2018-04-29,277.4,291.7,276,287.8,287.9,16488361,47497.5
"22",2018-04-22,289.25,290.15,279.7,282.5,282.15,19745690,56161.94
"23",2018-04-15,288,291.1,285.8,288.1,288.25,17497198,50514.33
"24",2018-04-08,278.4,282.95,277,279.95,280.65,31577015,88354.63
"25",2018-04-01,283,283.3,277.1,278.9,278.35,27172599,75794.56
"26",2018-03-25,277.1,277.85,273.55,274.3,275.55,31922568,88030.31
"27",2018-03-18,301.25,301.85,297.4,299.25,298.1,28835112,86172.12
"28",2018-03-11,299,299.5,290.7,293.55,292.7,12489587,36858.97
"29",2018-03-04,312.65,314,304.25,304.4,304.95,18986889,58452.5
"30",2018-02-25,319.05,324.05,318.35,323.85,322.75,7949765,25556.9
"31",2018-02-18,330.35,334,318.8,321.8,321.05,17585994,57103.88
"32",2018-02-11,325,328.65,322.65,327.5,326.75,9493398,30902.54
"33",2018-02-04,342.55,343.7,333.7,335.1,335.1,16957983,57246.06
"34",2018-01-28,352.5,364.8,350.7,360,360.8,30183655,108376.08
"35",2018-01-21,347.45,355,340.8,354.15,353.6,18812611,65749.42
"36",2018-01-14,309.6,318.8,309.6,317.25,317.7,11699345,36858.84
"37",2018-01-07,314.45,315.15,311.6,313.4,312.9,6366054,19939.47
"38",2017-12-31,313.9,315.75,312.5,314.25,314,9637881,30286.66
"39",2017-12-24,315,319.2,313.8,316.45,316.6,7628532,24151.61
"40",2017-12-17,310.4,310.7,302.55,303.5,303.15,23227021,70639.67
"41",2017-12-10,307.25,311.9,307,310.75,310.75,10732806,33210.88
"42",2017-12-03,309.7,309.95,304.4,305.3,305.25,6602231,20256.43
"43",2017-11-26,319.9,321.05,315.95,316.85,317.2,7867381,25018.91
"44",2017-11-19,324,332.35,323.8,324.55,325.1,20440466,67077.98
"45",2017-11-12,312.5,324.2,311.05,318.3,318.5,21000915,66621.96
"46",2017-11-05,317.8,318.65,314.05,315.2,315.9,14258432,45086.62
"47",2017-10-29,291.9,305.45,285.5,302.25,301.15,36889009,110103.75
"48",2017-10-22,259.6,261,256.6,257.55,257.85,3822821,9896.18
"49",2017-10-15,267.6,274.65,267.6,271.2,271.3,14402254,39195.66
"50",2017-10-08,272.15,274.45,270.55,272.5,271.95,25447787,69395.86
"51",2017-10-01,277.45,281.65,275.75,277,276.6,9980756,27806.75
"52",2017-09-24,283.6,283.95,275.75,277.7,277.1,23451953,65324.43
"53",2017-09-17,294.45,295.55,290.95,291.35,291.6,22632513,66065.56
"54",2017-09-10,294.8,294.8,290.05,292.5,292,8077662,23553.73
"55",2017-09-03,299.7,299.7,297.15,298.3,298.3,7472688,22297.85
"56",2017-08-27,300,300.15,296.65,298.95,297.7,12766567,38064.84
"57",2017-08-20,292,294.35,290.8,292.9,293.15,6700778,19624.55
"58",2017-08-13,283.95,289.65,280.3,285.8,286.95,17211539,49235.03
"59",2017-08-06,295,297.5,293.9,296.8,296.25,10099985,29876.05
"60",2017-07-30,304,304,293.85,296.05,296.15,30571846,91242.8
"61",2017-07-23,299.5,303.9,296.2,303,302.05,9705981,29121.4
"62",2017-07-16,299.4,299.4,294.5,298.1,298.25,6196683,18400.15
"63",2017-07-09,293.5,293.5,289.2,289.2,289.7,8477468,24639.12
"64",2017-07-02,292,292,287.5,290,290.15,12435467,36031.51
"65",2017-06-25,289.55,293.55,284.6,290.5,291.85,14937649,43262.44
"66",2017-06-18,318.45,319.25,315.65,316.3,316.5,21116941,66877.79
"67",2017-06-11,318.95,323.1,316.1,322,322.15,9263914,29679.42
"68",2017-06-04,322,322.95,315.65,318,318.15,12245022,38983.88
"69",2017-05-28,317,323,315.55,319.1,321.55,19396445,62144.77
"70",2017-05-21,307.9,312.4,303.7,307.1,307.05,15208154,46847.59
"71",2017-05-14,300,300.55,293.3,296.95,296.55,15095481,44786.47
"72",2017-05-07,300,301.75,294.45,298,298.55,43808474,130873.41
"73",2017-04-30,273.5,279.4,272.9,277.9,278.5,8515909,23599.74
"74",2017-04-23,272.65,273.8,267,269.05,269.15,16514436,44567.24
"75",2017-04-16,280.3,285.8,279.4,282.55,282.8,13798932,39122.18
"76",2017-04-09,280.1,283,275.75,278.1,277.35,17267311,48112.55
"77",2017-04-02,280.35,282.9,275.7,276.35,276.85,17947183,49979.59
"78",2017-03-26,269.65,276.85,269.65,275.55,274.75,17479368,47991.73
"79",2017-03-19,286.1,286.7,279.65,280.6,280.6,22742094,63972.03
"80",2017-03-12,275.15,276.5,269.4,270.5,270.55,14317483,38916.16
"81",2017-03-05,278.6,278.9,275.05,276.25,275.95,8414699,23233.13
"82",2017-02-26,284.7,288.75,282.05,285.25,284.5,23181054,66067.34
"83",2017-02-19,279.7,286.1,275.85,284.6,283,25905766,72917.14
"84",2017-02-12,285.6,286.15,280.1,281.95,281.6,15246747,43160.38
"85",2017-02-05,284.95,284.95,278.8,281.75,281.55,18235397,51319.79
"86",2017-01-29,263.05,274,260.7,271.8,272,81303314,216451.76
"87",2017-01-22,267,267.95,262.55,262.85,263.45,11097327,29362.08
"88",2017-01-15,270,270,264.8,267.6,268.05,7100341,18996.42
"89",2017-01-08,258.25,261.4,257.2,258.1,258.15,8231949,21331.31
"90",2017-01-01,252,257.5,251.35,255.05,255.3,10514365,26895.16
"91",2016-12-25,252.95,254.75,250.15,252.15,251.85,6302338,15937.75
"92",2016-12-18,260,260,254.85,256.1,255.6,22713015,58234.24
